prefix_replicates,comparison_id,metric,lower,upper
20000,pair_id,direction_accuracy,-0.039826384691400665,0.0973888369244435
20000,pair_id,delta_mae,0.009394251715466158,0.2926601989058064
20000,pair_id,delta_rmse,-0.10395659445737634,0.1648489678565278
20000,equal_comparison_key,direction_accuracy,-0.04100135089496792,0.08817279040404047
20000,equal_comparison_key,delta_mae,0.007808592165107226,0.30134868951373883
20000,equal_comparison_key,delta_rmse,-0.10402266893607723,0.1711935369658759
30000,pair_id,direction_accuracy,-0.03909558247556035,0.09749720536064545
30000,pair_id,delta_mae,0.009218418016740676,0.2929177845643895
30000,pair_id,delta_rmse,-0.10222516822999225,0.16672131154308112
30000,equal_comparison_key,direction_accuracy,-0.04018188460569413,0.08768866489742538
30000,equal_comparison_key,delta_mae,0.007306975065742224,0.30237969050881364
30000,equal_comparison_key,delta_rmse,-0.10261526392148299,0.1748203308048762
40000,pair_id,direction_accuracy,-0.039868126609239565,0.0976290505828888
40000,pair_id,delta_mae,0.009554082951619702,0.29329188774592196
40000,pair_id,delta_rmse,-0.10157813438629715,0.1655877962762825
40000,equal_comparison_key,direction_accuracy,-0.04076045658781552,0.08796066790352514
40000,equal_comparison_key,delta_mae,0.007757978234426187,0.3037682135620107
40000,equal_comparison_key,delta_rmse,-0.10193895123226754,0.17496899267182853
50000,pair_id,direction_accuracy,-0.03977142633430977,0.09743589743589744
50000,pair_id,delta_mae,0.010787747112317822,0.29245544851434013
50000,pair_id,delta_rmse,-0.09957153745938017,0.16554185281432096
50000,equal_comparison_key,direction_accuracy,-0.04069363526091848,0.0881867880485528
50000,equal_comparison_key,delta_mae,0.008623531600470682,0.3023887801716891
50000,equal_comparison_key,delta_rmse,-0.09972283337109238,0.1730880447124442
