estimand,metric,contrast_direction,point_estimate,lower_bound,upper_bound,B,paired_cell_count,support_count,bonferroni_family_size,two_sided_alpha,significant_better_positive
pair_id,direction_accuracy,candidate_minus_reference,0.032265446224256311,-0.04296428829610352,0.098007470646348627,2000,75,4370,6,0.050000000000000003,false
pair_id,delta_mae,reference_minus_candidate,0.13988297549150955,0.0057032168294188839,0.3298478058180313,2000,75,4370,6,0.050000000000000003,true
pair_id,delta_rmse,reference_minus_candidate,0.040420295983005193,-0.10658360665320198,0.17199427026051559,2000,75,4370,6,0.050000000000000003,false
equal_comparison_key,direction_accuracy,candidate_minus_reference,0.025218774860779652,-0.043766283524904186,0.092955128205128301,2000,75,4190,6,0.050000000000000003,false
equal_comparison_key,delta_mae,reference_minus_candidate,0.1370446977386639,0.0047244036569449787,0.33647504497382535,2000,75,4190,6,0.050000000000000003,true
equal_comparison_key,delta_rmse,reference_minus_candidate,0.038658720468472373,-0.10687487968595462,0.18968198978891593,2000,75,4190,6,0.050000000000000003,false
