experiment,label,weight,metric,value,aggregation
E2,permuted_xgboost_binary,pair,RMSE,1.5068646453952128,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,pair,DA,0.45331807780320366,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,pair,MAE,1.3967828263486191,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,source_prior_binary,pair,RMSE,1.4746650654106668,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,pair,DA,0.42677345537757438,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,pair,MAE,1.4004047514570361,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,train_mean_binary,pair,RMSE,1.4525274134339066,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,pair,DA,0,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,pair,MAE,1.3817255810671101,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,zero_delta_binary,pair,RMSE,1.4286139324864431,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,nearest_neighbor,equal_group,DA,0.59856801909307877,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,nearest_neighbor,equal_group,MAE,1.2740487203561066,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,nearest_neighbor,equal_group,RMSE,1.7247798594694492,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,permuted_xgboost,equal_group,DA,0.49260143198090695,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,permuted_xgboost,equal_group,MAE,1.3812174281692939,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,permuted_xgboost,equal_group,RMSE,1.5050825706639526,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,random_forest,equal_group,DA,0.59212410501193313,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,random_forest,equal_group,MAE,1.3178360561541156,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,random_forest,equal_group,RMSE,1.3799680042399818,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,ridge,equal_group,DA,0.61575178997613367,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,ridge,equal_group,MAE,1.2045128590916026,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,ridge,equal_group,RMSE,1.3772692363810546,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,source_prior,equal_group,DA,0.44677804295942719,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,source_prior,equal_group,MAE,1.3958792218634406,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,source_prior,equal_group,RMSE,1.4742083353605917,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,train_mean,equal_group,DA,0.4243436754176611,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,train_mean,equal_group,MAE,1.3995969988966686,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,train_mean,equal_group,RMSE,1.4516813823149943,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,xgboost,equal_group,DA,0.62354813046937152,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,xgboost,equal_group,MAE,1.2098937565932095,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,xgboost,equal_group,RMSE,1.3611391486600857,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,zero_delta,equal_group,DA,0,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,zero_delta,equal_group,MAE,1.3818898687651595,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E1,zero_delta,equal_group,RMSE,1.4296193369036416,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,random_forest_count,equal_group,DA,0.5805091487669054,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
E2,random_forest_count,equal_group,MAE,1.2972611964121796,"metrics within model-seed stream pooled over 5 splits, then equal mean over model seeds"
