experiment,comparison,weight,metric,estimate,adjusted_lower,adjusted_upper,B,family_size,tail_alpha,expected_tail_draws,invalid_draws,interval_status,direction
E1,xgboost_vs_random_forest,pair,DA,0.038062547673531677,-0.037344006161087288,0.10590049521627404,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,first minus second
E1,xgboost_vs_random_forest,pair,MAE,0.11370510124667632,-0.047431926482936849,0.22197593834897542,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,second minus first
E1,xgboost_vs_random_forest,pair,RMSE,0.02528127804009106,-0.12595335567497218,0.1360060425442372,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,second minus first
E2,random_forest_count_vs_binary,pair,DA,-0.021205186880244087,-0.12650376359508719,0.090751785415020644,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,random_forest_count_vs_binary,pair,MAE,0.002729461914562803,-0.061643989058383461,0.092925345603757287,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,random_forest_count_vs_binary,pair,RMSE,-0.0086009976987744263,-0.068539375527256266,0.077787932036047863,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,xgboost_count_vs_binary,pair,DA,-0.030434782608695587,-0.086842701205604458,0.084890517291740616,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,xgboost_count_vs_binary,pair,MAE,-0.072423377588632265,-0.18379688513564529,0.12296276662936953,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,xgboost_count_vs_binary,pair,RMSE,-0.097095517599141479,-0.20946236493503637,0.079498484006696291,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,ridge_count_vs_binary,pair,DA,0.0013729977116704317,-0.10441893434361826,0.086144662464687174,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,ridge_count_vs_binary,pair,MAE,0.015550092873553245,-0.16773043874664995,0.16604905265113148,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,ridge_count_vs_binary,pair,RMSE,-0.0093237503771508301,-0.19521006715736225,0.1380423204775684,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E1,xgboost_vs_random_forest,equal_group,DA,0.031424025457438387,-0.040442267867985097,0.090696551314526447,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,first minus second
E1,xgboost_vs_random_forest,equal_group,MAE,0.10794229956090606,-0.052941510286413161,0.22344736987083608,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,second minus first
E1,xgboost_vs_random_forest,equal_group,RMSE,0.018828855579896109,-0.13260571142650671,0.13680517932604697,2000,6,0.0041666666666666666,8.3333333333333339,0,COMPUTED_UNCALIBRATED,second minus first
E2,random_forest_count_vs_binary,equal_group,DA,-0.027048528241845671,-0.12562140456528287,0.077251260066857785,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,random_forest_count_vs_binary,equal_group,MAE,0.0015311192921851902,-0.062082194478601332,0.095252210942986873,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,random_forest_count_vs_binary,equal_group,RMSE,-0.0099782646920747453,-0.068916876581633327,0.079623641669317458,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,xgboost_count_vs_binary,equal_group,DA,-0.028480509148766875,-0.081622260015117076,0.086945398428732806,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,xgboost_count_vs_binary,equal_group,MAE,-0.07154831066994527,-0.18473029560414836,0.13063924115736292,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,xgboost_count_vs_binary,equal_group,RMSE,-0.096651425304432825,-0.2106693409586255,0.085295604457481342,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,ridge_count_vs_binary,equal_group,DA,0.0076372315035799776,-0.083797629007697605,0.085663122520959256,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,first minus second
E2,ridge_count_vs_binary,equal_group,MAE,0.023738737838883583,-0.1489615107355837,0.16667652709056457,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
E2,ridge_count_vs_binary,equal_group,RMSE,-0.0015949004311190951,-0.17473344331181054,0.13960506893424152,50000,18,0.0013888888888888889,69.444444444444443,0,COMPUTED_UNCALIBRATED,second minus first
