fit_ordinal,cell_id,model,split_seed,fold,model_seed,permutation_seed,fit_budget_units
78,xgboost|20260625|4|20260724,xgboost,20260625,4,20260724,,1
79,xgboost|20260625|4|20260801,xgboost,20260625,4,20260801,,1
80,permuted_xgboost|20260625|4|20260803,permuted_xgboost,20260625,4,20260803,310000009,1
81,ridge|20260626|0|-1,ridge,20260626,0,-1,,1
82,random_forest|20260626|0|20260624,random_forest,20260626,0,20260624,,1
83,random_forest|20260626|0|20260724,random_forest,20260626,0,20260724,,1
84,random_forest|20260626|0|20260801,random_forest,20260626,0,20260801,,1
85,xgboost|20260626|0|20260624,xgboost,20260626,0,20260624,,1
86,xgboost|20260626|0|20260724,xgboost,20260626,0,20260724,,1
87,xgboost|20260626|0|20260801,xgboost,20260626,0,20260801,,1
88,permuted_xgboost|20260626|0|20260803,permuted_xgboost,20260626,0,20260803,310000010,1
89,ridge|20260626|1|-1,ridge,20260626,1,-1,,1
90,random_forest|20260626|1|20260624,random_forest,20260626,1,20260624,,1
91,random_forest|20260626|1|20260724,random_forest,20260626,1,20260724,,1
92,random_forest|20260626|1|20260801,random_forest,20260626,1,20260801,,1
93,xgboost|20260626|1|20260624,xgboost,20260626,1,20260624,,1
94,xgboost|20260626|1|20260724,xgboost,20260626,1,20260724,,1
95,xgboost|20260626|1|20260801,xgboost,20260626,1,20260801,,1
96,permuted_xgboost|20260626|1|20260803,permuted_xgboost,20260626,1,20260803,310000011,1
97,ridge|20260626|2|-1,ridge,20260626,2,-1,,1
98,random_forest|20260626|2|20260624,random_forest,20260626,2,20260624,,1
99,random_forest|20260626|2|20260724,random_forest,20260626,2,20260724,,1
100,random_forest|20260626|2|20260801,random_forest,20260626,2,20260801,,1
101,xgboost|20260626|2|20260624,xgboost,20260626,2,20260624,,1
102,xgboost|20260626|2|20260724,xgboost,20260626,2,20260724,,1
103,xgboost|20260626|2|20260801,xgboost,20260626,2,20260801,,1
104,permuted_xgboost|20260626|2|20260803,permuted_xgboost,20260626,2,20260803,310000012,1
105,ridge|20260626|3|-1,ridge,20260626,3,-1,,1
106,random_forest|20260626|3|20260624,random_forest,20260626,3,20260624,,1
107,random_forest|20260626|3|20260724,random_forest,20260626,3,20260724,,1
108,random_forest|20260626|3|20260801,random_forest,20260626,3,20260801,,1
109,xgboost|20260626|3|20260624,xgboost,20260626,3,20260624,,1
110,xgboost|20260626|3|20260724,xgboost,20260626,3,20260724,,1
111,xgboost|20260626|3|20260801,xgboost,20260626,3,20260801,,1
112,permuted_xgboost|20260626|3|20260803,permuted_xgboost,20260626,3,20260803,310000013,1
113,ridge|20260626|4|-1,ridge,20260626,4,-1,,1
114,random_forest|20260626|4|20260624,random_forest,20260626,4,20260624,,1
115,random_forest|20260626|4|20260724,random_forest,20260626,4,20260724,,1
116,random_forest|20260626|4|20260801,random_forest,20260626,4,20260801,,1
117,xgboost|20260626|4|20260624,xgboost,20260626,4,20260624,,1
118,xgboost|20260626|4|20260724,xgboost,20260626,4,20260724,,1
119,xgboost|20260626|4|20260801,xgboost,20260626,4,20260801,,1
120,permuted_xgboost|20260626|4|20260803,permuted_xgboost,20260626,4,20260803,310000014,1
121,ridge|20260724|0|-1,ridge,20260724,0,-1,,1
122,random_forest|20260724|0|20260624,random_forest,20260724,0,20260624,,1
123,random_forest|20260724|0|20260724,random_forest,20260724,0,20260724,,1
124,random_forest|20260724|0|20260801,random_forest,20260724,0,20260801,,1
125,xgboost|20260724|0|20260624,xgboost,20260724,0,20260624,,1
126,xgboost|20260724|0|20260724,xgboost,20260724,0,20260724,,1
127,xgboost|20260724|0|20260801,xgboost,20260724,0,20260801,,1
128,permuted_xgboost|20260724|0|20260803,permuted_xgboost,20260724,0,20260803,310000015,1
129,ridge|20260724|1|-1,ridge,20260724,1,-1,,1
130,random_forest|20260724|1|20260624,random_forest,20260724,1,20260624,,1
131,random_forest|20260724|1|20260724,random_forest,20260724,1,20260724,,1
132,random_forest|20260724|1|20260801,random_forest,20260724,1,20260801,,1
133,xgboost|20260724|1|20260624,xgboost,20260724,1,20260624,,1
134,xgboost|20260724|1|20260724,xgboost,20260724,1,20260724,,1
135,xgboost|20260724|1|20260801,xgboost,20260724,1,20260801,,1
136,permuted_xgboost|20260724|1|20260803,permuted_xgboost,20260724,1,20260803,310000016,1
137,ridge|20260724|2|-1,ridge,20260724,2,-1,,1
138,random_forest|20260724|2|20260624,random_forest,20260724,2,20260624,,1
139,random_forest|20260724|2|20260724,random_forest,20260724,2,20260724,,1
140,random_forest|20260724|2|20260801,random_forest,20260724,2,20260801,,1
141,xgboost|20260724|2|20260624,xgboost,20260724,2,20260624,,1
142,xgboost|20260724|2|20260724,xgboost,20260724,2,20260724,,1
143,xgboost|20260724|2|20260801,xgboost,20260724,2,20260801,,1
144,permuted_xgboost|20260724|2|20260803,permuted_xgboost,20260724,2,20260803,310000017,1
145,ridge|20260724|3|-1,ridge,20260724,3,-1,,1
146,random_forest|20260724|3|20260624,random_forest,20260724,3,20260624,,1
147,random_forest|20260724|3|20260724,random_forest,20260724,3,20260724,,1
148,random_forest|20260724|3|20260801,random_forest,20260724,3,20260801,,1
149,xgboost|20260724|3|20260624,xgboost,20260724,3,20260624,,1
150,xgboost|20260724|3|20260724,xgboost,20260724,3,20260724,,1
151,xgboost|20260724|3|20260801,xgboost,20260724,3,20260801,,1
152,permuted_xgboost|20260724|3|20260803,permuted_xgboost,20260724,3,20260803,310000018,1
153,ridge|20260724|4|-1,ridge,20260724,4,-1,,1
154,random_forest|20260724|4|20260624,random_forest,20260724,4,20260624,,1
155,random_forest|20260724|4|20260724,random_forest,20260724,4,20260724,,1
156,random_forest|20260724|4|20260801,random_forest,20260724,4,20260801,,1
157,xgboost|20260724|4|20260624,xgboost,20260724,4,20260624,,1
158,xgboost|20260724|4|20260724,xgboost,20260724,4,20260724,,1
159,xgboost|20260724|4|20260801,xgboost,20260724,4,20260801,,1
160,permuted_xgboost|20260724|4|20260803,permuted_xgboost,20260724,4,20260803,310000019,1
161,ridge|20260801|0|-1,ridge,20260801,0,-1,,1
162,random_forest|20260801|0|20260624,random_forest,20260801,0,20260624,,1
163,random_forest|20260801|0|20260724,random_forest,20260801,0,20260724,,1
164,random_forest|20260801|0|20260801,random_forest,20260801,0,20260801,,1
165,xgboost|20260801|0|20260624,xgboost,20260801,0,20260624,,1
166,xgboost|20260801|0|20260724,xgboost,20260801,0,20260724,,1
167,xgboost|20260801|0|20260801,xgboost,20260801,0,20260801,,1
168,permuted_xgboost|20260801|0|20260803,permuted_xgboost,20260801,0,20260803,310000020,1
169,ridge|20260801|1|-1,ridge,20260801,1,-1,,1
170,random_forest|20260801|1|20260624,random_forest,20260801,1,20260624,,1
171,random_forest|20260801|1|20260724,random_forest,20260801,1,20260724,,1
172,random_forest|20260801|1|20260801,random_forest,20260801,1,20260801,,1
173,xgboost|20260801|1|20260624,xgboost,20260801,1,20260624,,1
174,xgboost|20260801|1|20260724,xgboost,20260801,1,20260724,,1
175,xgboost|20260801|1|20260801,xgboost,20260801,1,20260801,,1
